# svMultiPhysics boundary integral results file. 
# Quantities represent averaged scalar or flux values over each mesh face.
#        
# Format 
# ------ 
# face areas: [list of mesh face areas]  
# step time [list of mesh face names] 
# [time step] [time] [list of computed values for each mesh face]
face areas:  4.620e+00  7.770e-01  9.683e-01  2.290e+02  8.826e+01 
step   time   cap_aorta  cap_aorta_2  cap_right_iliac  wall_aorta  wall_right_iliac 
 1   1.0000000000e-02  1.7183103541e+05  2.8182693273e+04  3.1997402655e+04  1.0718814926e+05  6.3503566741e+04 
 2   2.0000000000e-02  1.2503703933e+05  9.7738452296e+04  1.0535268122e+05  1.5365071424e+05  1.5772843698e+05 
 3   3.0000000000e-02  1.4311031448e+05  8.3499595406e+04  8.7108719373e+04  1.0225070074e+05  8.3025713543e+04 
 4   4.0000000000e-02  1.6075037702e+04  7.4266876657e+04  7.6563649040e+04  4.9239133400e+04  6.8286259221e+04 
 5   5.0000000000e-02  4.9980285057e+04  5.1580330456e+04  5.0965091108e+04  3.8293757164e+04  3.7556492708e+04 
 6   6.0000000000e-02  7.4757435228e+04  6.3502632519e+04  6.4625383226e+04  7.8849449924e+04  7.6373994945e+04 
 7   7.0000000000e-02  8.9124398277e+04  6.7140420439e+04  6.8628023844e+04  8.0615367726e+04  7.5941927562e+04 
 8   8.0000000000e-02  6.7868643533e+04  6.6808889787e+04  6.8042621765e+04  6.9700145646e+04  6.9980338008e+04 
 9   9.0000000000e-02  6.6240901703e+04  6.2866680782e+04  6.3694076846e+04  6.4817530655e+04  6.4641219074e+04 
 10   1.0000000000e-01  7.2166817768e+04  6.4025411272e+04  6.4978227410e+04  7.0783641803e+04  6.9206904349e+04 
 11   1.1000000000e-01  7.4683642572e+04  6.4944631538e+04  6.6063184668e+04  7.2458098070e+04  7.0696876134e+04 
 12   1.2000000000e-01  7.1487931684e+04  6.4853212743e+04  6.5948400336e+04  7.0221244940e+04  6.9129132151e+04 
 13   1.3000000000e-01  7.0986349662e+04  6.4281709959e+04  6.5334304646e+04  6.9585666971e+04  6.8522641724e+04 
 14   1.4000000000e-01  7.2041035927e+04  6.4423117071e+04  6.5501996281e+04  7.0467665408e+04  6.9115418377e+04 
