# svMultiPhysics boundary integral results file. 
# Quantities represent averaged scalar or flux values over each mesh face.
#        
# Format 
# ------ 
# face areas: [list of mesh face areas]  
# step time [list of mesh face names] 
# [time step] [time] [list of computed values for each mesh face]
face areas:  4.620e+00  7.770e-01  9.683e-01  2.290e+02  8.826e+01 
step   time   cap_aorta  cap_aorta_2  cap_right_iliac  wall_aorta  wall_right_iliac 
 1   1.0000000000e-02  -6.5000000000e+01  9.3570163192e+00  1.0637250400e+01  0.0000000000e+00  0.0000000000e+00 
 2   2.0000000000e-02  -6.5000000000e+01  3.7087456742e+01  4.0354600785e+01  0.0000000000e+00  0.0000000000e+00 
 3   3.0000000000e-02  -6.5000000000e+01  4.4042737024e+01  4.6617989585e+01  0.0000000000e+00  0.0000000000e+00 
 4   4.0000000000e-02  -6.5000000000e+01  3.8651801459e+01  4.0082087700e+01  0.0000000000e+00  0.0000000000e+00 
 5   5.0000000000e-02  -6.5000000000e+01  2.9592842105e+01  2.9787248174e+01  0.0000000000e+00  0.0000000000e+00 
 6   6.0000000000e-02  -6.5000000000e+01  2.9728006335e+01  3.0023150683e+01  0.0000000000e+00  0.0000000000e+00 
 7   7.0000000000e-02  -6.5000000000e+01  3.2913424147e+01  3.3625982975e+01  0.0000000000e+00  0.0000000000e+00 
 8   8.0000000000e-02  -6.5000000000e+01  3.3421631627e+01  3.4109700736e+01  0.0000000000e+00  0.0000000000e+00 
 9   9.0000000000e-02  -6.5000000000e+01  3.2068326563e+01  3.2571118192e+01  0.0000000000e+00  0.0000000000e+00 
 10   1.0000000000e-01  -6.5000000000e+01  3.1791263480e+01  3.2267388481e+01  0.0000000000e+00  0.0000000000e+00 
 11   1.1000000000e-01  -6.5000000000e+01  3.2286686288e+01  3.2839810726e+01  0.0000000000e+00  0.0000000000e+00 
 12   1.2000000000e-01  -6.5000000000e+01  3.2409846576e+01  3.2983882267e+01  0.0000000000e+00  0.0000000000e+00 
 13   1.3000000000e-01  -6.5000000000e+01  3.2205786614e+01  3.2762602359e+01  0.0000000000e+00  0.0000000000e+00 
 14   1.4000000000e-01  -6.5000000000e+01  3.2156649624e+01  3.2715901768e+01  0.0000000000e+00  0.0000000000e+00 
 15   1.5000000000e-01  -6.5000000000e+01  3.2224555744e+01  3.2797437180e+01  0.0000000000e+00  0.0000000000e+00 
 16   1.6000000000e-01  -6.5000000000e+01  3.2244929822e+01  3.2820456943e+01  0.0000000000e+00  0.0000000000e+00 
 17   1.7000000000e-01  -6.5000000000e+01  3.2215792084e+01  3.2785204931e+01  0.0000000000e+00  0.0000000000e+00 
 18   1.8000000000e-01  -6.5000000000e+01  3.2206526565e+01  3.2764653936e+01  0.0000000000e+00  0.0000000000e+00 
 19   1.9000000000e-01  -6.5000000000e+01  3.2226427263e+01  3.2772856777e+01  0.0000000000e+00  0.0000000000e+00 
 20   2.0000000000e-01  -6.5000000000e+01  3.2241598017e+01  3.2772123147e+01  0.0000000000e+00  0.0000000000e+00 
 21   2.1000000000e-01  -6.5000000000e+01  3.2244096572e+01  3.2757660297e+01  0.0000000000e+00  0.0000000000e+00 
 22   2.2000000000e-01  -6.5000000000e+01  3.2248321692e+01  3.2747283751e+01  0.0000000000e+00  0.0000000000e+00 
 23   2.3000000000e-01  -6.5000000000e+01  3.2255974101e+01  3.2743915124e+01  0.0000000000e+00  0.0000000000e+00 
 24   2.4000000000e-01  -6.5000000000e+01  3.2262013505e+01  3.2742298156e+01  0.0000000000e+00  0.0000000000e+00 
 25   2.5000000000e-01  -6.5000000000e+01  3.2263067497e+01  3.2738969422e+01  0.0000000000e+00  0.0000000000e+00 
 26   2.6000000000e-01  -6.5000000000e+01  3.2262092099e+01  3.2737351191e+01  0.0000000000e+00  0.0000000000e+00 
 27   2.7000000000e-01  -6.5000000000e+01  3.2259818277e+01  3.2738888307e+01  0.0000000000e+00  0.0000000000e+00 
 28   2.8000000000e-01  -6.5000000000e+01  3.2255189827e+01  3.2742507949e+01  0.0000000000e+00  0.0000000000e+00 
 29   2.9000000000e-01  -6.5000000000e+01  3.2248132991e+01  3.2747713787e+01  0.0000000000e+00  0.0000000000e+00 
 30   3.0000000000e-01  -6.5000000000e+01  3.2240882695e+01  3.2755075534e+01  0.0000000000e+00  0.0000000000e+00 
 31   3.1000000000e-01  -6.5000000000e+01  3.2234151139e+01  3.2762198504e+01  0.0000000000e+00  0.0000000000e+00 
 32   3.2000000000e-01  -6.5000000000e+01  3.2229099984e+01  3.2768034704e+01  0.0000000000e+00  0.0000000000e+00 
 33   3.3000000000e-01  -6.5000000000e+01  3.2227133973e+01  3.2771023803e+01  0.0000000000e+00  0.0000000000e+00 
 34   3.4000000000e-01  -6.5000000000e+01  3.2227776829e+01  3.2770932709e+01  0.0000000000e+00  0.0000000000e+00 
 35   3.5000000000e-01  -6.5000000000e+01  3.2230632215e+01  3.2768467626e+01  0.0000000000e+00  0.0000000000e+00 
 36   3.6000000000e-01  -6.5000000000e+01  3.2234713545e+01  3.2764769980e+01  0.0000000000e+00  0.0000000000e+00 
 37   3.7000000000e-01  -6.5000000000e+01  3.2239143674e+01  3.2760726161e+01  0.0000000000e+00  0.0000000000e+00 
 38   3.8000000000e-01  -6.5000000000e+01  3.2243258798e+01  3.2756920383e+01  0.0000000000e+00  0.0000000000e+00 
 39   3.9000000000e-01  -6.5000000000e+01  3.2246631920e+01  3.2753524036e+01  0.0000000000e+00  0.0000000000e+00 
