# svMultiPhysics boundary integral results file. 
# Quantities represent averaged scalar or flux values over each mesh face.
#        
# Format 
# ------ 
# face areas: [list of mesh face areas]  
# step time [list of mesh face names] 
# [time step] [time] [list of computed values for each mesh face]
face areas:  4.620e+00  7.770e-01  9.683e-01  2.290e+02  8.826e+01 
step   time   cap_aorta  cap_aorta_2  cap_right_iliac  wall_aorta  wall_right_iliac 
 1   1.0000000000e-02  8.4654284599e-01  8.9889472472e-01  8.0815456114e-01  2.2484595902e+00  2.7693690117e+00 
 2   2.0000000000e-02  1.2479035946e+00  3.5715997147e+00  3.1831602658e+00  3.9971394342e+00  7.4187081858e+00 
 3   3.0000000000e-02  7.7543282660e-01  4.8904779577e+00  4.3702615143e+00  4.6562976763e+00  8.3404959833e+00 
 4   4.0000000000e-02  9.5710223933e-01  4.7707978722e+00  4.5846044431e+00  3.7644826658e+00  6.6410437063e+00 
 5   5.0000000000e-02  8.9254704052e-01  4.3372664439e+00  4.2468867501e+00  2.8963829950e+00  4.6920169113e+00 
 6   6.0000000000e-02  9.2662826542e-01  4.2635460860e+00  3.9967577578e+00  2.9021944822e+00  4.8350595904e+00 
 7   7.0000000000e-02  8.9704185455e-01  4.6251187993e+00  4.1168228366e+00  3.2584786308e+00  5.7581087387e+00 
 8   8.0000000000e-02  9.1214143644e-01  4.7315039736e+00  4.1753047237e+00  3.2965415956e+00  5.8799007839e+00 
 9   9.0000000000e-02  9.0873626646e-01  4.6526481873e+00  4.1019203257e+00  3.1554476869e+00  5.5958220592e+00 
 10   1.0000000000e-01  9.0673810031e-01  4.5905427939e+00  4.0207885091e+00  3.1202967172e+00  5.5316515921e+00 
 11   1.1000000000e-01  9.1004663214e-01  4.5602188423e+00  3.9842062284e+00  3.1779655036e+00  5.6663371262e+00 
 12   1.2000000000e-01  9.0766890669e-01  4.5610716627e+00  4.0083291395e+00  3.1954879545e+00  5.7315405934e+00 
 13   1.3000000000e-01  9.0889339353e-01  4.5599969893e+00  4.0339918226e+00  3.1799655807e+00  5.7245615206e+00 
 14   1.4000000000e-01  9.0805607180e-01  4.5554712937e+00  4.0306952275e+00  3.1814897512e+00  5.7554798563e+00 
 15   1.5000000000e-01  9.0856215326e-01  4.5449361598e+00  4.0172710219e+00  3.1969965618e+00  5.8164423136e+00 
 16   1.6000000000e-01  9.0830821046e-01  4.5321915553e+00  4.0087089043e+00  3.2081546228e+00  5.8672115132e+00 
 17   1.7000000000e-01  9.0841266136e-01  4.5291064777e+00  4.0039323026e+00  3.2150979756e+00  5.9070045804e+00 
 18   1.8000000000e-01  9.0833252852e-01  4.5401278361e+00  3.9983273857e+00  3.2233854897e+00  5.9498989657e+00 
 19   1.9000000000e-01  9.0840147326e-01  4.5560203450e+00  3.9925360762e+00  3.2336717112e+00  5.9980568211e+00 
 20   2.0000000000e-01  9.0835989218e-01  4.5662217956e+00  3.9862623101e+00  3.2422897619e+00  6.0452839380e+00 
 21   2.1000000000e-01  9.0838823359e-01  4.5682005050e+00  3.9803036520e+00  3.2480995112e+00  6.0881971815e+00 
 22   2.2000000000e-01  9.0836729449e-01  4.5632189287e+00  3.9768169644e+00  3.2531940404e+00  6.1257736266e+00 
